"X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CDK11B",0,0.28890653437777,0.648,0.435,0,4,"CDK11B"
"H2AFJ",0,0.288829542090624,0.714,0.588,0,4,"H2AFJ"
"HTRA2",0,0.288699838768672,0.769,0.655,0,4,"HTRA2"
"PSMG4",0,0.288593252643151,0.77,0.649,0,4,"PSMG4"
"CNOT9",0,0.28857004134478,0.785,0.664,0,4,"CNOT9"
"ANKRD39",0,0.288466366205136,0.523,0.27,0,4,"ANKRD39"
"EI24",0,0.288352583372114,0.968,0.941,0,4,"EI24"
"ENPP1",0,0.288345930128655,0.266,0.051,0,4,"ENPP1"
"MCUB",0,0.288307394094733,0.819,0.698,0,4,"MCUB"
"RMDN3",0,0.28822514895446,0.516,0.268,0,4,"RMDN3"
"ALDH1B1",0,0.288214768454281,0.433,0.21,0,4,"ALDH1B1"
"MID1IP1",0,0.288173137301065,0.517,0.255,0,4,"MID1IP1"
"APIP",0,0.287647669491796,0.811,0.703,0,4,"APIP"
"SELENON",0,0.287490056625241,0.59,0.374,0,4,"SELENON"
"CDK10",0,0.287418053271535,0.526,0.272,0,4,"CDK10"
"PAF1",0,0.287332104022594,0.539,0.288,0,4,"PAF1"
"G2E3",0,0.287245313539059,0.52,0.275,0,4,"G2E3"
"RNF20",0,0.286905537537064,0.516,0.267,0,4,"RNF20"
"TRIM26",0,0.286874909998959,0.459,0.208,0,4,"TRIM26"
"CAVIN31",0,0.286810705851096,0.846,0.752,0,4,"CAVIN3"
"ATR",0,0.286703729835635,0.454,0.206,0,4,"ATR"
"PDIA5",0,0.286548689912989,0.441,0.212,0,4,"PDIA5"
"STEAP3",0,0.286508815368657,0.377,0.141,0,4,"STEAP3"
"TRNAU1AP",0,0.286172892883353,0.714,0.562,0,4,"TRNAU1AP"
"ADK1",0,0.285883594696886,0.866,0.786,0,4,"ADK"
"LAMA41",0,0.285643253240603,0.756,0.642,0,4,"LAMA4"
"DNAJC21",0,0.285390247396913,0.907,0.85,0,4,"DNAJC21"
"ATP2A1-AS1",0,0.284975543243654,0.262,0.049,0,4,"ATP2A1-AS1"
"HAUS3",0,0.284926921148353,0.407,0.153,0,4,"HAUS3"
"C17orf53",0,0.284842216701773,0.252,0.034,0,4,"C17orf53"
"EXOSC10",0,0.284679437789754,0.652,0.449,0,4,"EXOSC10"
"RNPS1",0,0.284369846413479,0.983,0.938,0,4,"RNPS1"
"ATG10",0,0.284004371775147,0.436,0.19,0,4,"ATG10"
"FGF11",0,0.283984452241948,0.279,0.095,0,4,"FGF1"
"TIFA",0,0.283977823802336,0.446,0.201,0,4,"TIFA"
"DSEL1",0,0.283944682634218,0.557,0.355,0,4,"DSEL"
"OXR1",0,0.28379865976505,0.487,0.238,0,4,"OXR1"
"PRKCSH1",0,0.2837300460315,0.878,0.798,0,4,"PRKCSH"
"DARS2",0,0.283545750943937,0.356,0.122,0,4,"DARS2"
"REEP4",0,0.283484997819125,0.464,0.215,0,4,"REEP4"
"UBIAD1",0,0.283472398320994,0.503,0.26,0,4,"UBIAD1"
"MAP7D3",0,0.283231647016559,0.777,0.682,0,4,"MAP7D3"
"CYREN",0,0.282978093545204,0.618,0.413,0,4,"CYREN"
"HMCES",0,0.282943766461791,0.521,0.276,0,4,"HMCES"
"CCDC801",0,0.28283376451532,0.998,0.97,0,4,"CCDC80"
"DNAAF5",0,0.282708238199719,0.537,0.296,0,4,"DNAAF5"
"CYBRD1",0,0.282615463457687,0.58,0.358,0,4,"CYBRD1"
"PFAS",0,0.282354696847581,0.415,0.175,0,4,"PFAS"
"SMS",0,0.282290856845154,0.977,0.963,0,4,"SMS"
"WDR4",0,0.282280430563709,0.53,0.287,0,4,"WDR4"
"MDM1",0,0.282259454743272,0.333,0.101,0,4,"MDM1"
"WBP11",0,0.282124786581798,0.912,0.842,0,4,"WBP11"
"APPL2",0,0.281824200873522,0.462,0.218,0,4,"APPL2"
"ERCC21",0,0.281820087200268,0.492,0.26,0,4,"ERCC2"
"C1orf174",0,0.281716226636682,0.658,0.453,0,4,"C1orf174"
"LGR4",0,0.281660825167246,0.367,0.163,0,4,"LGR4"
"TOMM51",0,0.281588904811286,0.922,0.919,0,4,"TOMM5"
"RPS17",0,0.281541952920315,0.987,0.974,0,4,"RPS17"
"SMTN",0,0.28151819901113,0.704,0.609,0,4,"SMTN"
"KDELR3",0,0.281498965014344,0.394,0.178,0,4,"KDELR3"
"SNRNP401",0,0.281436143077061,0.933,0.875,0,4,"SNRNP40"
"SLC16A1-AS1",0,0.281409017374563,0.524,0.301,0,4,"SLC16A1-AS1"
"DLAT",0,0.280802806342769,0.628,0.421,0,4,"DLAT"
"NABP2",0,0.280727334710615,0.775,0.674,0,4,"NABP2"
"ARHGAP101",0,0.280650292661288,0.601,0.351,0,4,"ARHGAP10"
"CYP2U1",0,0.28062836044161,0.302,0.082,0,4,"CYP2U1"
"FGD1",0,0.280466705042737,0.366,0.138,0,4,"FGD1"
"QDPR",0,0.280455789539549,0.771,0.651,0,4,"QDPR"
"MOV10",0,0.280321129416944,0.393,0.152,0,4,"MOV10"
"METTL8",0,0.280173466304136,0.5,0.255,0,4,"METTL8"
"THAP10",0,0.28012099608532,0.274,0.057,0,4,"THAP10"
"GTF3C5",0,0.280074947197154,0.539,0.29,0,4,"GTF3C5"
"MFF",0,0.280000777663876,0.885,0.842,0,4,"MFF"
"GRPEL2",0,0.279765422888508,0.422,0.181,0,4,"GRPEL2"
"GSE1",0,0.279627214108323,0.469,0.24,0,4,"GSE1"
"UBE2V2",0,0.27934318365322,0.986,0.968,0,4,"UBE2V2"
"LANCL2",0,0.279327650893638,0.428,0.193,0,4,"LANCL2"
"NT5DC1",0,0.278966693761387,0.499,0.245,0,4,"NT5DC1"
"DHX9",0,0.278895677796273,0.963,0.935,0,4,"DHX9"
"CAMK2N11",0,0.278894905359487,0.62,0.519,0,4,"CAMK2N1"
"CD320",0,0.278770693004525,0.926,0.884,0,4,"CD320"
"CEP41",0,0.278741441109354,0.448,0.208,0,4,"CEP41"
"AL138724.1",0,0.278682170517718,0.392,0.159,0,4,"AL138724.1"
"CPNE21",0,0.278605098566891,0.49,0.243,0,4,"CPNE2"
